name,value,unit,status,source,optimized,hardware_verified
phy.channel,9,channel,code_confirmed,ds_twr_initiator_final.c:43,false,false
phy.preamble,DWT_PLEN_128,enum,code_confirmed,ds_twr_initiator_final.c:44,false,false
phy.pac,DWT_PAC8,enum,code_confirmed,ds_twr_initiator_final.c:45,false,false
phy.data_rate,DWT_BR_6M8,enum,code_confirmed,ds_twr_initiator_final.c:49,false,false
phy.sts,DWT_STS_MODE_OFF,enum,code_confirmed,ds_twr_initiator_final.c:53,false,false
initiator.poll_tx_to_resp_rx,1500,UUS,code_confirmed_current_baseline,ds_twr_initiator_final.c:135,false,false
initiator.resp_rx_to_final_tx,1650,UUS,code_confirmed_current_baseline,ds_twr_initiator_final.c:136,false,false
initiator.resp_rx_timeout,281,UUS,code_confirmed_current_baseline,ds_twr_initiator_final.c:137,false,false
initiator.final_to_post_final,1650,UUS,code_confirmed_current_baseline,ds_twr_initiator_final.c:138,false,false
initiator.report_rx_timeout,50000,UUS,code_confirmed_current_baseline,ds_twr_initiator_final.c:139,false,false
responder.poll_rx_to_resp_tx,1650,UUS,code_confirmed_current_baseline,ds_twr_responder_final.c:148,false,false
responder.resp_tx_to_final_rx,1500,UUS,code_confirmed_current_baseline,ds_twr_responder_final.c:149,false,false
responder.final_rx_timeout,298,UUS,code_confirmed_current_baseline,ds_twr_responder_final.c:150,false,false
responder.final_to_post_final_rx,1500,UUS,code_confirmed_current_baseline,ds_twr_responder_final.c:151,false,false
responder.post_final_timeout,279,UUS,code_confirmed_current_baseline,ds_twr_responder_final.c:152,false,false
antenna.tx_delay,16385,device_units,uncalibrated_code_constant,initiator:63/responder:71,false,false
antenna.rx_delay,16385,device_units,uncalibrated_code_constant,initiator:64/responder:72,false,false
cir.accumulator_read,7,bytes,code_confirmed,initiator:160/responder:180,false,false
phase.median_window,20,samples,code_confirmed,shared_function_jang.h:48,false,false
